Movie Name,Release Year,Movie Runtime,Total Song Length,Number of Songs
Hum Tum Dushman Dushman,2015,114,19.72,4
Jeevan Ek Sanghursh जीवन एक संघर्ष,1990,160,32.33,6
Jurm,1990,140,21.48,5
Patthar Ke Phool,1991,155,58.08,9
Ramgarh Ke Sholay रामगढ़ के शोले,1991,124,31.63,5
Saajan,1991,193,47.53,9
Sadak,1991,134,68.5,12
Sanam Bewafa,1991,161,55.62,9
Saugandh सौगन्ध,1991,128,77.53,7
Shikari शिकारी,1991,140,44.75,9
Kabir Singh,2019,172,42.45,9
Aaja Meri Jaan,1992,162,57.72,10
Aankhen,1993,170,31.0,5
Baazigar,1993,182,115.77,9
Chandra Mukhiचन्द्रमुखी,1993,152,40.17,7
Darr: A Violent Love Story,1993,177,42.2,7
Hum Hain Rahi Pyar Ke,1993,150,32.65,6
Sanam Teri Kasam,2016,154,88.43,10
Padiri Yugandhar,1979,159,18.53,5
1942: A Love story,1994,157,38.88,8
Andaz Apna Apna,1994,160,31.77,6
Andaz Apna Apna,1994,160,31.77,6
Anjaam,1994,171,34.68,7
Chaand Kaa Tukdaa चाँद का टुकड़ा,1994,155,52.62,9
Dilwale,2015,155,29.6,7
Hum Aapke Hain Koun..!,1994,199,71.15,14
Kabhi Haan Kabhi Naa,1994,158,32.77,6
Ekkees Toppon Ki Salaami,2014,140,36.63,6
Sangdil Sanam,1994,156,39.33,6
Raja Hindustani,1996,177,51.33,8
Rog,2005,119,42.73,8
Dil To Pagal Hai,1997,180,108.33,12
Koyla,1997,167,42.8,6
Kuch Kuch Hota Hai,1998,185,42.98,8
Pyaar To Hona Hi Tha,1998,156,35.68,6
Pyaar Kiya To Darna Kya,1998,158,43.7,8
Major Saab,1998,165,31.52,7
Rangeela Raja,2019,162,23.48,5
Rangeela Raja,2019,162,23.48,5
Biwi No.1,1999,148,102.87,9
Hogi Pyaar Ki Jeet,1999,164,38.13,8
Hum Dil De Chuke Sanam,1999,188,55.53,11
Hum Saath Saath Hain,1999,170,86.95,8
Jaanam Samjha Karoजानम समझा करोجانم سمجھا کرو,1999,156,51.12,8
Khoobsurat 2,2014,127,23.8,6
Sarfarosh,1999,122,30.78,6
Sirf Tum,1999,171,68.33,9
Vaastav: The Reality,1999,144,43.32,10
Aaghaaz,2000,160,44.63,7
Baaghi 2,2018,144,25.05,6
Badal,2000,173,50.13,8
Bichhoo,2000,160,43.88,8
Dhaai Akshar Prem Ke,2000,167,41.97,8
Dhadkan,2000,160,59.23,9
Dhadkan,2000,160,59.23,9
Dulhan Hum Le Jayenge,2000,151,40.87,8
Har Dil Jo Pyar Karega,2000,150,44.37,9
Kahin Pyaar Na Ho Jaaye,2000,159,43.48,8
Kunwara,2000,134,37.22,8
Mohabbatein,2000,216,50.87,9
Papa The Great,2000,143,33.7,6
Phir Bhi Dil Hai Hindustani,2000,166,33.5,8
Chupke,2001,198,49.13,8
Deewaanapan,2001,157,94.48,9
Ittefaq,2017,107,3.33,1
Sanam Teri Kasam,2016,154,88.43,10
Kasoor,2001,151,37.77,6
Pyaar Zindagi Hai,2001,157,41.8,8
Rehnaa Hai Terre Dil Mein,2001,168,53.97,11
Ek Niranjan,2009,155,23.4,5
Fight Club,2006,145,33.6,7
Haseena Parkar,2017,124,14.0,4
Jaan-E-Mann,2006,173,54.32,9
Kabul Express,2006,106,69.3,10
Kabhi Alvida Naa Kehna,2006,192,88.02,9
Khosla Ka Ghosla,2006,135,24.1,5
Lage Raho Munna Bhai,2006,144,32.47,8
Naksha,2006,126,42.9,11
Phir Hera Pheri,2006,156,32.07,6
Lucky: No Time for Love,2005,132,48.57,9
Taxi No. 9 2 11,2006,116,30.05,7
Teesri Aankh,2006,177,31.13,7
Vivah,2006,160,71.5,9
Tiger Zinda Hai,2017,161,25.48,6
Aap Kaa Surroor,2007,127,49.6,10
Anjaam,1994,171,34.68,7
Awarapan,2007,133,36.63,7
Bheja Fry 2,2011,130,23.08,6
Dhamaal,2007,137,32.93,7
Love sex Aur Dhokha,2010,102,29.97,8
Fool & Final,2007,160,32.65,7
Jab We Met,2007,142,90.23,11
Johnny Gaddaar,2007,120,121.55,16
Namastey London,2007,128,196.9,19
Raqeeb: Rivals in Love,2007,124,38.42,8
Red: The Dark Side,2007,105,41.3,8
Salaam-E-Ishq,2007,224,39.78,7
Shootout at Lokhandwala,2007,121,45.68,9
Ta Ra Rum Pum,2007,153,28.4,6
Sirf Tum,1999,171,68.33,9
Sarkar Raj,2008,125,43.03,12
Love Story 2050,2008,180,49.25,9
Mission Istanbul,2008,125,40.43,9
Money Hai Toh Honey Hai,2008,142,37.55,8
Singh is Kinng,2008,136,58.38,12
God Tussi Great Ho,2008,153,35.95,8
Mukhbiir,2008,137,27.68,5
Roadside Romeo,2008,93,30.77,8
OMG – Oh My God!,2012,130,47.68,12
Rab Ne Bana Di Jodi,2008,164,29.37,7
Chandni Chowk to China,2009,154,37.72,8
Dev D,2009,144,61.48,18
The Stoneman Murders,2009,115,26.37,9
Firaaq,2009,112,23.07,5
Padosan,1968,157,38.08,9
Sanam Teri Kasam,2016,154,88.43,10
Kambakkht Ishq,2009,135,47.2,11
Sankat City,2009,120,22.97,5
Short Kut,2009,156,24.37,7
Love Aaj Kal,2009,129,47.33,10
Chal Chalein,2009,148,28.8,1
Kaminey,2009,134,72.53,9
Love Khichdi,2009,130,24.67,4
Rocket Singh: Salesman of the Year,2009,156,12.88,3
3 Idiots,2009,170,29.37,7
My Name Is Khan,2010,165,55.97,7
Karthik Calling Karthik,2010,135,39.67,9
Love sex Aur Dhokha,2010,102,29.97,8
Hum Tum aur Ghost,2010,135,31.02,7
Prem Game,2010,131,33.2,7
Jaane Kahan Se Aayi Hai,2010,115,23.33,5
Housefull 4,2019,145,17.58,5
Lamhaa,2010,135,42.28,6
Khatta Meetha,2010,158,31.15,7
Peepli Live,2010,104,29.13,6
The Film Emotional Atyachar,2010,87,38.48,7
Dabangg,2010,126,47.72,10
Anjaana Anjaani,2010,147,42.25,9
Rakta Charitra 2,2010,117,23.18,6
Golmaal 3,2010,140,39.07,9
Guzaarish,2010,126,40.32,10
Rakta Charitra 2,2010,117,23.18,6
Band Baaja Baaraat,2010,140,37.98,9
Tees Maar Khan,2010,131,83.27,10
Isi Life Mein...!,2010,139,81.23,11
No One Killed Jessica,2011,136,29.23,6
7 Khoon Maaf,2011,147,40.4,9
Great Grand Masti,2016,127,15.03,4
Tanu Weds Manu,2011,119,34.8,7
Satrangee Parachute,2011,115,36.03,8
Dum Maaro Dum,2011,130,37.82,8
Shor in the City,2011,112,13.97,3
Chalo Dilli,2011,155,34.08,8
Haunted – 3D,2011,143,30.42,6
Ragini MMS,2011,93,16.77,4
Stanley Ka Dabba(Stanley stippin Tiffin box),2011,96,27.43,7
Kucch Luv Jaisaa,2011,125,35.62,7
Bheja Fry 2,2011,130,23.08,6
Always Kabhi kabhi,2011,126,39.48,10
Double Dhamaal,2011,138,25.3,7
Bbuddah... Hoga Terra Baap,2011,118,21.45,5
Chillar Party,2011,119,30.87,8
Singham,2011,142,27.18,6
Aarakshan,2011,164,25.83,6
Chatur Singh Two Star,2011,150,30.88,7
Mausam,2011,168,62.38,13
Breakaway,2011,101,30.05,9
Saheb Biwi Aur Gangster,2011,118,36.35,8
Tere Mere Phere,2011,125,18.78,5
My Friend Pinto,2011,115,37.43,7
Damadamm,2011,122,45.32,10
Miley Naa Miley Hum,2011,120,27.57,6
Desi Boyz,2011,121,90.63,11
The Dirty Picture,2011,144,53.43,7
Ladies vs Ricky Bahl,2011,140,57.33,8
Jo Hum Chahein,2011,134,21.0,5
Don 2,2011,144,34.53,9
Sadda Adda,2012,107,39.27,10
Agneepath,2012,173,31.67,6
Gali Gali Chor Hai,2012,109,28.82,6
Ek Main Aur Ekk Tu,2012,110,61.28,8
Jodi Breakers,2012,127,37.73,8
Tere Naal Love Ho Gaya,2012,130,32.58,9
Kahaani,2012,122,28.3,6
Zindagi Tere Naam,2012,137,81.4,9
Bumboo,2012,126,17.57,5
Housefull 2: The Dirty Dozen,2012,160,37.02,8
Bittoo Boss,2012,116,18.25,4
Hate Story,2012,139,34.55,6
Tezz,2012,122,119.43,13
Life Ki Toh Lag Gayi,2012,110,28.05,9
Jannat 2,2012,150,97.47,11
Rowdy Rathore,2012,143,60.38,8
Ferrari Ki Sawaari,2012,146,26.17,6
Teri Meri Kahaani,2012,115,36.12,7
Gangs of Wasseypur – Part 1,2012,160,112.42,15
Mere Dost Picture Abhi Baki Hai,2012,123,5.03,1
Kyaa Super Kool Hain Hum,2012,137,35.13,7
Jism 2,2012,130,35.52,7
Gangs of Wasseypur – Part 2,2012,159,104.43,14
Paanch Ghantey Mein Paanch Crore,2012,110,36.32,9
Ek Tha Tiger,2012,133,31.45,8
Raaz 3,2012,139,28.05,6
Barfi!,2012,150,51.78,11
OMG – Oh My God!,2012,130,47.68,12
Aiyyaa,2012,152,27.55,6
Student of the Year,2012,146,54.75,7
Delhi Safari,2012,92,16.32,6
1920: The Evil Returns,2012,124,54.72,6
Talaash: The Answer Lies Within,2012,139,55.63,7
Dabangg 2,2012,125,27.25,6
Inkaar,2013,133,28.53,7
Race 2,2013,145,37.2,9
Special 26,2013,144,55.48,10
Kai Po Che,2013,126,12.35,3
Zila Ghaziabad,2013,143,29.82,6
"I, Me Aur Main",2013,105,27.9,7
