Barsaat Ki Raat,1960,142,25.2,3
Chandramukhi,2005,164,59.07,7
Chhalia,1960,135,57.05,9
Shaitan,2011,121,48.67,14
Jis Desh Mein Ganga Behti Hai,1961,167,26.57,6
Mughal-e-Azam,1960,197,49.03,12
Rangeela Raja,2019,162,23.48,5
Gunga Jumna,1966,178,33.88,9
Junglee,2019[1],115,11.25,3
Saugandh सौगन्ध,1991,128,77.53,7
Stree,2018India[2][3]),128,12.0,4
Zindagi Aur Khwab,20 January 1961,145,20.58,6
Bezubaan Ishq,2015,130,83.98,9
Shaadi Mein Zaroor Aana,2017,137,89.03,12
Akeli Mat Jaiyo,12 April 1963,145,25.68,8
Kahin Pyaar Na Ho Jaaye,2000,159,43.48,8
Mere Mehboob,1963,164,39.68,9
Pyaar Kiya To Darna Kya,1998,158,43.7,8
Tere Ghar Ke Samne,1963 [6],149,29.7,7
Door Gagan Ki Chhaon Mein,1964,153,37.28,10
Dosti,1964,163,25.08,6
Kashmir Ki Kali,1964,168,40.38,8
Barsaat Ki Raat,1960,142,25.2,3
Sarfarosh,1999,122,30.78,6
Woh Kaun Thi?,1964,140,24.33,6
Dear Zindagi,2016,150,78.05,11
Toilet: Ek Prem Katha,2017,155,21.0,5
Bheegi Raat,1965 [1],157,23.47,6
Rishte Naate,1965,2:38:15,20.92,4
Badal,2000,173,50.13,8
Mera Saaya,1966,140,23.9,6
Nil Battey Sannata,2016,104,21.67,7
Teesri Kasam,1966,159,39.22,10
Gunehgar (Wrongdoer) (1995),1995,125,32.77,6
Mera Naam Shaji,"April 5, 2019 (India)",134,8.53,2
Sunghursh,"July 26, 1968",158,29.68,7
Anjaana Anjaani,2010,147,42.25,9
Ittefaq,2017,107,3.33,1
Khamoshi,2019[1],86,5.5,1
Mumbai Se Aaya Mera Dost,2003,147,32.25,6
Munna Bhai M.B.B.S.,2003,150,33.65,6
Johny Mera Naam,1970,161,35.33,8
Mera Naam Joker,1970,244,46.6,9
Mere Humsafarमेरे हमसफ़र,1970,153,23.83,5
Andaz Apna Apna,1994 [1][2],160,31.77,6
Chaahat,21 June 1996,146,48.78,7
Ek Paheli Leela,2015,144,26.85,7
Hare Rama Hare Krishna,1971,149,54.63,14
Lal Patthar,31 December 1971,2,20.93,6
Hum Tum Dushman Dushman,2015,114,19.72,4
Abhimaan,2016,132,16.92,4
Chhalia,1960,135,57.05,9
Daag – A Poem Of Love,1973,146,32.38,7
Nirdosh,2018,110,10.1,2
Badla,2019[1],118,18.08,5
Hum Hain Rahi Pyar Ke,1993,150,32.65,6
Humshakals,2014,158,24.65,6
Roti Kapada Aur Makaan,1974,161,31.35,5
Zehreela Insaan,20 November 1974,146,26.57,6
Dharam Karam,1975,159,38.78,8
Mausam,2011,168,62.38,13
Sholay,1975,204,28.97,7
Chalte Chalte,2003,168,48.6,10
Kabhi Kabhie,1976,178,41.62,10
Laila Majnu,2018,140,42.55,10
Nehle Pe Dehla,1976,120,25.72,5
Dear Zindagi,2016,150,78.05,11
Kabir Singh,2019,172,42.45,9
Aap Ki Khatir,2006,127,79.87,16
Amar Akbar Anthony,1977,175,39.83,7
Dharam Veerधरम  वीर,1977,163,32.12,6
Dream Girl,2019,132,54.77,9
Inkaar,2013,133,28.53,7
Jeevan Mukt,1977India),113,13.08,4
Paheli,2005,141,44.88,8
Badalte Rishteyबदलते रिश्ते,1978,136,29.0,5
Besharam,2013,142,57.15,13
Khatta Meetha,2010,158,31.15,7
Muqaddar Ka Sikandar,1978,182,38.63,8
Naya Daur,1957,173,34.25,9
Kaala Patthar,1979 [1],171,32.75,6
Ram Lakhan,1989,174,46.1,7
Lok Parlok,1979,130,32.25,6
Noorie,1979,114min,31.7,6
Prem Vivah,1979,150,15.25,4
Saanch Ko Aanch Nahin,1979,138,24.67,6
Yagavarayinum Naa Kaakka / Malupu,2016  (Telugu),156,26.07,7
Nishana,1995,135,32.47,6
Chashme Buddoor,1981,145 minutes,35.75,7
Mard Ko Dard Nahi Hota,2019India),138,24.95,8
Ek Aur Ek Gyarah,2003,156,34.55,6
Kalyug,2005,126 minutes,78.35,9
Khatta Meetha,2010,158,31.15,7
Pyaasa Sawan,1981,161,32.57,6
Yeh Jawaani Hai Deewani,2013,159,41.43,10
Marudhar Express,2019,115,61.83,8
Purana Mandir,1984[2],144,24.33,6
Saheb Biwi Aur Gangster,2011,118,36.35,8
Tohfa,1984,160,29.57,5
Utsav,1984,145,20.7,4
Mard,1985,178,36.97,6
Saaheb,1985,150,28.92,6
Sarfarosh,1999,122,30.78,6
Ek Main Aur Ekk Tu,2012,110,61.28,8
Suhagan,1986,143,18.5,4
Anjaam,22 April 1994,171,34.68,7
Maine Dil Tujhko Diya,2002,164,40.05,7
