Movie Name,Release Year,Movie Runtime,Total Song Length,Number of Songs
Sunghursh,"July 26, 1968",158,29.68,7
Anjaana Anjaani,2010,147,42.25,9
Ittefaq,2017,107,3.33,1
Khamoshi,2019[1],86,5.5,1
Mumbai Se Aaya Mera Dost,2003,147,32.25,6
Munna Bhai M.B.B.S.,2003,150,33.65,6
Johny Mera Naam,1970,161,35.33,8
Mera Naam Joker,1970,244,46.6,9
Mere Humsafarमेरे हमसफ़र,1970,153,23.83,5
Andaz Apna Apna,1994 [1][2],160,31.77,6
Chaahat,21 June 1996,146,48.78,7
Ek Paheli Leela,2015,144,26.85,7
Hare Rama Hare Krishna,1971,149,54.63,14
Lal Patthar,31 December 1971,2,20.93,6
Hum Tum Dushman Dushman,2015,114,19.72,4
Abhimaan,2016,132,16.92,4
Chhalia,1960,135,57.05,9
Daag – A Poem Of Love,1973,146,32.38,7
Nirdosh,2018,110,10.1,2
Badla,2019[1],118,18.08,5
Hum Hain Rahi Pyar Ke,1993,150,32.65,6
Humshakals,2014,158,24.65,6
Roti Kapada Aur Makaan,1974,161,31.35,5
Zehreela Insaan,20 November 1974,146,26.57,6
Dharam Karam,1975,159,38.78,8
Mausam,2011,168,62.38,13
Sholay,1975,204,28.97,7
Chalte Chalte,2003,168,48.6,10
Kabhi Kabhie,1976,178,41.62,10
Laila Majnu,2018,140,42.55,10
Nehle Pe Dehla,1976,120,25.72,5
Dear Zindagi,2016,150,78.05,11
Kabir Singh,2019,172,42.45,9
Aap Ki Khatir,2006,127,79.87,16
Amar Akbar Anthony,1977,175,39.83,7
